analysis_family,sensitivity_dimension,sensitivity_group,selection_rule,metric_or_mode,effect_definition,n_pairs,pair_ids,estimate,n_primary_clusters,primary_ci_low,primary_ci_high,primary_p_two_sided_sign_tail,n_connected_components,component_ci_low,component_ci_high,component_p_two_sided_sign_tail,decision_role
CRITERION_B,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,mrm2,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),2,R3-D03;R3-D04,-0.009703255139948859,1,-0.009703255139948859,-0.009703255139948859,0.00019998000199980003,1,-0.009703255139948859,-0.009703255139948859,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,mrm3,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),2,R3-D03;R3-D04,-0.022354737488365597,1,-0.022354737488365597,-0.022354737488365597,0.00019998000199980003,1,-0.022354737488365597,-0.022354737488365597,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,mrm4,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),2,R3-D03;R3-D04,-0.016023593303759388,1,-0.016023593303759388,-0.016023593303759388,0.00019998000199980003,1,-0.016023593303759388,-0.016023593303759388,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,mrm5,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),2,R3-D03;R3-D04,-0.00082620229804595408,1,-0.00082620229804595408,-0.00082620229804595408,0.00019998000199980003,1,-0.00082620229804595408,-0.00082620229804595408,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,mrm6,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),2,R3-D03;R3-D04,-0.005795328475469437,1,-0.005795328475469437,-0.005795328475469437,0.00019998000199980003,1,-0.005795328475469437,-0.005795328475469437,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,early,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),2,R3-D03;R3-D04,-0.0059067663983959923,1,-0.0059067663983959923,-0.0059067663983959923,0.00019998000199980003,1,-0.0059067663983959923,-0.0059067663983959923,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,middle,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),2,R3-D03;R3-D04,-0.016552959496435708,1,-0.016552959496435708,-0.016552959496435708,0.00019998000199980003,1,-0.016552959496435708,-0.016552959496435708,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,late,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),2,R3-D03;R3-D04,0.12425287764152965,1,0.12425287764152965,0.12425287764152965,0.00019998000199980003,1,0.12425287764152965,0.12425287764152965,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_A,sensitivity_stratum,CROSS_SCENE_ACTIVITY,sensitivity_stratum=CROSS_SCENE_ACTIVITY,iou_weakness,mean_pair(control_mean_iou-primary_mean_iou),4,R3-D01;R3-D02;R3-D06;R3-D09,0.44552064587444556,4,0.22232412002747709,0.66871717172141398,0.00019998000199980003,3,0.25079936818411375,0.53203647358374007,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_A,sensitivity_stratum,CROSS_SCENE_ACTIVITY,sensitivity_stratum=CROSS_SCENE_ACTIVITY,failure_weakness,mean_pair(primary_failure_rate-control_failure_rate); failure=iou<0.5,4,R3-D01;R3-D02;R3-D06;R3-D09,0.51000000000000001,4,0.02,1,0.0077992200779922012,3,0,1,0.073392660733926612,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
