pair_id,side,sequence,condition,repetition,execution_order,interval_end_to_end_ms,tracked_frames,start_snapshot_sha256
R3-D03,primary,Liquor,baseline,1,109,6038.6687999998685,25,c5c0f0a27f42985788ccb8300f944780c9a8750e9fe686d5f92fa65f27d41ee4
R3-D03,primary,Liquor,whole_mrm1_physical_skip,1,110,5833.832299998903,25,c5c0f0a27f42985788ccb8300f944780c9a8750e9fe686d5f92fa65f27d41ee4
R3-D03,primary,Liquor,whole_mrm1_physical_skip,2,111,5718.938000005437,25,c5c0f0a27f42985788ccb8300f944780c9a8750e9fe686d5f92fa65f27d41ee4
R3-D03,primary,Liquor,baseline,2,112,6556.695200000831,25,c5c0f0a27f42985788ccb8300f944780c9a8750e9fe686d5f92fa65f27d41ee4
R3-D03,primary,Liquor,baseline,3,113,6871.6133999987505,25,c5c0f0a27f42985788ccb8300f944780c9a8750e9fe686d5f92fa65f27d41ee4
R3-D03,primary,Liquor,whole_mrm1_physical_skip,3,114,6169.656099998974,25,c5c0f0a27f42985788ccb8300f944780c9a8750e9fe686d5f92fa65f27d41ee4
R3-D07,primary,Shaking,baseline,1,115,5893.212099996163,24,7c54a83b8dbada05e30d0b51cbe714ccacfb4c998a1a8ccde95889c9114d6d07
R3-D07,primary,Shaking,whole_mrm1_physical_skip,1,116,5773.755000001984,24,7c54a83b8dbada05e30d0b51cbe714ccacfb4c998a1a8ccde95889c9114d6d07
R3-D07,primary,Shaking,whole_mrm1_physical_skip,2,117,5519.961800004239,24,7c54a83b8dbada05e30d0b51cbe714ccacfb4c998a1a8ccde95889c9114d6d07
R3-D07,primary,Shaking,baseline,2,118,6463.037500005157,24,7c54a83b8dbada05e30d0b51cbe714ccacfb4c998a1a8ccde95889c9114d6d07
R3-D07,primary,Shaking,baseline,3,119,5948.745600006077,24,7c54a83b8dbada05e30d0b51cbe714ccacfb4c998a1a8ccde95889c9114d6d07
R3-D07,primary,Shaking,whole_mrm1_physical_skip,3,120,5621.626899999683,24,7c54a83b8dbada05e30d0b51cbe714ccacfb4c998a1a8ccde95889c9114d6d07
R3-D12,primary,Singer1,whole_mrm1_physical_skip,1,121,5753.878399998939,24,2427e2b9140edfae4f1bee5eb68e7799cabc31694ef07ebbb5f9eae88d31852c
R3-D12,primary,Singer1,baseline,1,122,6335.487000003923,24,2427e2b9140edfae4f1bee5eb68e7799cabc31694ef07ebbb5f9eae88d31852c
R3-D12,primary,Singer1,baseline,2,123,5947.690500004683,24,2427e2b9140edfae4f1bee5eb68e7799cabc31694ef07ebbb5f9eae88d31852c
R3-D12,primary,Singer1,whole_mrm1_physical_skip,2,124,5826.660400001856,24,2427e2b9140edfae4f1bee5eb68e7799cabc31694ef07ebbb5f9eae88d31852c
R3-D12,primary,Singer1,whole_mrm1_physical_skip,3,125,5527.09540000069,24,2427e2b9140edfae4f1bee5eb68e7799cabc31694ef07ebbb5f9eae88d31852c
R3-D12,primary,Singer1,baseline,3,126,5988.805400003912,24,2427e2b9140edfae4f1bee5eb68e7799cabc31694ef07ebbb5f9eae88d31852c
R3-D09,primary,Skating1,baseline,1,127,8675.2290000004,25,5e673ac05d1ab4816e91145612940e8ff0e86ec411ad1bd3c4e66c5a5bc634c9
R3-D09,primary,Skating1,whole_mrm1_physical_skip,1,128,10043.393699997978,25,5e673ac05d1ab4816e91145612940e8ff0e86ec411ad1bd3c4e66c5a5bc634c9
R3-D09,primary,Skating1,whole_mrm1_physical_skip,2,129,9693.0457999988,25,5e673ac05d1ab4816e91145612940e8ff0e86ec411ad1bd3c4e66c5a5bc634c9
R3-D09,primary,Skating1,baseline,2,130,9917.827100005525,25,5e673ac05d1ab4816e91145612940e8ff0e86ec411ad1bd3c4e66c5a5bc634c9
R3-D09,primary,Skating1,baseline,3,131,9363.499000006414,25,5e673ac05d1ab4816e91145612940e8ff0e86ec411ad1bd3c4e66c5a5bc634c9
R3-D09,primary,Skating1,whole_mrm1_physical_skip,3,132,8795.041199999105,25,5e673ac05d1ab4816e91145612940e8ff0e86ec411ad1bd3c4e66c5a5bc634c9
R3-D10,primary,Subway,whole_mrm1_physical_skip,1,133,5403.702499999781,15,d386caf9289f758f497dc357a7039325161f6f0eebe246bcbd85113c37a5ab13
R3-D10,primary,Subway,baseline,1,134,9588.78790000017,15,d386caf9289f758f497dc357a7039325161f6f0eebe246bcbd85113c37a5ab13
R3-D10,primary,Subway,baseline,2,135,9896.896700003708,15,d386caf9289f758f497dc357a7039325161f6f0eebe246bcbd85113c37a5ab13
R3-D10,primary,Subway,whole_mrm1_physical_skip,2,136,6931.217899997137,15,d386caf9289f758f497dc357a7039325161f6f0eebe246bcbd85113c37a5ab13
R3-D10,primary,Subway,whole_mrm1_physical_skip,3,137,7074.7579999951995,15,d386caf9289f758f497dc357a7039325161f6f0eebe246bcbd85113c37a5ab13
R3-D10,primary,Subway,baseline,3,138,7839.300799998455,15,d386caf9289f758f497dc357a7039325161f6f0eebe246bcbd85113c37a5ab13
R3-D10,control,Woman,whole_mrm1_physical_skip,1,139,3829.2647000052966,15,cfa30d4ec2617a0a0e5fbf537fdd350d5db74c5d731b3a5638be03405776f1b5
R3-D10,control,Woman,baseline,1,140,3767.312400006631,15,cfa30d4ec2617a0a0e5fbf537fdd350d5db74c5d731b3a5638be03405776f1b5
R3-D10,control,Woman,baseline,2,141,3733.0765000006068,15,cfa30d4ec2617a0a0e5fbf537fdd350d5db74c5d731b3a5638be03405776f1b5
R3-D10,control,Woman,whole_mrm1_physical_skip,2,142,3693.044400002691,15,cfa30d4ec2617a0a0e5fbf537fdd350d5db74c5d731b3a5638be03405776f1b5
R3-D10,control,Woman,whole_mrm1_physical_skip,3,143,3483.8222000034875,15,cfa30d4ec2617a0a0e5fbf537fdd350d5db74c5d731b3a5638be03405776f1b5
R3-D10,control,Woman,baseline,3,144,3905.505800001265,15,cfa30d4ec2617a0a0e5fbf537fdd350d5db74c5d731b3a5638be03405776f1b5
