pair_id,side,sequence,frame_index,condition,repetition,execution_order,model_forward_ms,peak_allocated_bytes,peak_reserved_bytes,batch_size,dtype,diagnostic_logging,record_call_counts,physical_skip
R3-D01,primary,Basketball,401,whole_mrm1_physical_skip,3,5,457.95060000091325,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,402,whole_mrm1_physical_skip,3,5,414.73430000041844,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,403,whole_mrm1_physical_skip,3,5,699.4297999990522,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,404,whole_mrm1_physical_skip,3,5,421.3220000019646,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,405,whole_mrm1_physical_skip,3,5,326.6689000010956,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,406,whole_mrm1_physical_skip,3,5,332.06690000224626,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,407,whole_mrm1_physical_skip,3,5,320.6477999992785,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,408,whole_mrm1_physical_skip,3,5,389.26760000322247,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,409,whole_mrm1_physical_skip,3,5,405.8992999998736,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,410,whole_mrm1_physical_skip,3,5,445.44540000060806,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,411,whole_mrm1_physical_skip,3,5,375.5120999994688,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,412,whole_mrm1_physical_skip,3,5,418.3072000014363,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,413,whole_mrm1_physical_skip,3,5,503.7144000016269,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,414,whole_mrm1_physical_skip,3,5,504.43649999942863,140518912,165675008,1,torch.float32,False,False,True
