pair_id,side,sequence,frame_index,comparison,maximum_float_bbox_abs_diff,integer_bbox_exact,score_map_max_abs_diff,confidence_abs_diff,left_end_state_sha256,right_end_state_sha256,continuation_state_exact,tolerance,status
R3-D05,primary,Car4,136,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,137,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,113,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,114,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,115,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,116,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,117,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,118,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,119,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,120,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
